Policy Number,Transaction ID,Effective Date,Product,Program,Account Number,Insured Name,Premium,Actions,policystatus,issueddate,shreddertransinbounddate,shredderstginbounddate,policyodsstgfirstdate,policyodscvt,policyodstranfirstdate
PK202500016988,"3,98,958",26-08-2025,Package,Media - Rental House,10252352,Reg_Prop_Media_1.1_Mon Jun 02 2025 03:41:45 GMT-0400 (Eastern Dayl,0,,Posted,6-15-25 1:45 PM,6-16-25 6:20 AM,6-16-25 6:20 AM,6-17-25 6:48 AM,,6-17-25 9:26 AM
PK202500016988,"3,98,959",26-08-2025,Package,Media - Rental House,10252352,Reg_Prop_Media_1.1_Mon Jun 02 2025 03:41:45 GMT-0400 (Eastern Dayl,0,,Posted,6-15-25 1:45 PM,6-16-25 6:20 AM,6-16-25 6:20 AM,6-17-25 10:20 AM,,6-17-25 4:47 PM
PK202500016996,"3,98,960",26-08-2025,Package,Media - Film,10252396,Reg_Prop_Media_1.3_Mon Jun 02 2025 10:53:07 GMT+0000 (Coordinated Unive,0,,Posted,6-15-25 1:46 PM,6-16-25 6:20 AM,6-16-25 6:20 AM,6-17-25 10:20 AM,,6-17-25 4:47 PM
PK202500016994,"3,98,961",16-08-2025,Package,Media - DICE,10252385,Reg_Prop_Media_1.2_Mon Jun 02 2025 10:41:52 GMT+0000 (Coordinated Unive,"2,380",,Posted,6-15-25 1:45 PM,6-16-25 6:20 AM,6-16-25 6:20 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500016996,"3,98,962",20-08-2025,Package,Media - Film,10252396,Reg_Prop_Media_1.3_Mon Jun 02 2025 10:53:07 GMT+0000 (Coordinated Unive,-61,,Posted,6-15-25 1:46 PM,6-16-25 6:20 AM,6-16-25 6:20 AM,6-17-25 6:48 AM,,6-17-25 9:26 AM
PK202500016994,"3,98,963",26-08-2025,Package,Media - DICE,10252385,Reg_Prop_Media_1.2_Mon Jun 02 2025 10:41:52 GMT+0000 (Coordinated Unive,0,,Posted,6-15-25 1:46 PM,6-16-25 6:20 AM,6-16-25 6:20 AM,6-17-25 6:48 AM,,6-17-25 9:26 AM
PK202500016994,"3,98,964",26-08-2025,Package,Media - DICE,10252385,Reg_Prop_Media_1.2_Mon Jun 02 2025 10:41:52 GMT+0000 (Coordinated Unive,0,,Posted,6-15-25 1:46 PM,6-16-25 6:20 AM,6-16-25 6:20 AM,6-17-25 10:20 AM,,6-17-25 4:47 PM
PK202500016996,"3,98,965",27-08-2025,Package,Media - Film,10252396,Reg_Prop_Media_1.3_Mon Jun 02 2025 10:53:07 GMT+0000 (Coordinated Unive,-746,,Posted,6-15-25 1:46 PM,6-16-25 6:20 AM,6-16-25 6:20 AM,6-17-25 7:50 PM,,6-17-25 11:41 PM
PK202500016988,"3,98,966",26-08-2025,Package,Media - Rental House,10252352,Reg_Prop_Media_1.1_Mon Jun 02 2025 03:41:45 GMT-0400 (Eastern Dayl,0,,Posted,6-15-25 1:46 PM,6-16-25 6:20 AM,6-16-25 6:20 AM,6-18-25 1:38 AM,,6-18-25 10:31 AM
PK202500016988,"3,98,967",20-08-2025,Package,Media - Rental House,10252352,Reg_Prop_Media_1.1_Mon Jun 02 2025 03:41:45 GMT-0400 (Eastern Dayl,730,,Posted,6-15-25 1:46 PM,6-16-25 6:20 AM,6-16-25 6:20 AM,6-17-25 7:50 PM,,6-17-25 11:41 PM
PK202500016996,"3,98,968",27-08-2025,Package,Media - Film,10252396,Reg_Prop_Media_1.3_Mon Jun 02 2025 10:53:07 GMT+0000 (Coordinated Unive,746,,Posted,6-15-25 1:46 PM,6-16-25 6:25 AM,6-16-25 6:25 AM,6-18-25 1:38 AM,,6-18-25 10:31 AM
PK202500016994,"3,98,969",26-08-2025,Package,Media - DICE,10252385,Reg_Prop_Media_1.2_Mon Jun 02 2025 10:41:52 GMT+0000 (Coordinated Unive,0,,Posted,6-15-25 1:47 PM,6-16-25 6:25 AM,6-16-25 6:25 AM,6-18-25 1:38 AM,,6-18-25 10:31 AM
PK202500016988,"3,98,970",27-08-2025,Package,Media - Rental House,10252352,Reg_Prop_Media_1.1_Mon Jun 02 2025 03:41:45 GMT-0400 (Eastern Dayl,0,,Posted,6-15-25 1:46 PM,6-16-25 6:25 AM,6-16-25 6:25 AM,6-18-25 7:05 AM,,6-18-25 12:49 PM
PK202500016988,"3,98,971",27-08-2025,Package,Media - Rental House,10252352,Reg_Prop_Media_1.1_Mon Jun 02 2025 03:41:45 GMT-0400 (Eastern Dayl,0,,Posted,6-15-25 1:47 PM,6-16-25 6:25 AM,6-16-25 6:25 AM,6-18-25 4:49 PM,,6-18-25 9:11 PM
PK202500016994,"3,98,972",20-08-2025,Package,Media - DICE,10252385,Reg_Prop_Media_1.2_Mon Jun 02 2025 10:41:52 GMT+0000 (Coordinated Unive,-38,,Posted,6-15-25 1:47 PM,6-16-25 6:25 AM,6-16-25 6:25 AM,6-17-25 7:50 PM,,6-17-25 11:41 PM
PK202500016994,"3,98,973",27-08-2025,Package,Media - DICE,10252385,Reg_Prop_Media_1.2_Mon Jun 02 2025 10:41:52 GMT+0000 (Coordinated Unive,"-1,778",,Posted,6-15-25 1:47 PM,6-16-25 6:25 AM,6-16-25 6:25 AM,6-18-25 7:05 AM,,6-18-25 12:49 PM
PK202500016994,"3,98,974",27-08-2025,Package,Media - DICE,10252385,Reg_Prop_Media_1.2_Mon Jun 02 2025 10:41:52 GMT+0000 (Coordinated Unive,"1,778",,Posted,6-15-25 1:48 PM,6-16-25 6:25 AM,6-16-25 6:25 AM,6-18-25 4:49 PM,,6-18-25 9:11 PM
PK202500016990,"3,98,975",26-08-2025,Package,Media - DICE,10252360,Reg_Prop_Media_1.6_Mon Jun 02 2025 03:53:59 GMT-0400 (Eastern Dayl,0,,Posted,6-15-25 1:49 PM,6-16-25 6:25 AM,6-16-25 6:25 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017084,"3,98,976",01-08-2025,Package,Media - Film,,Reg_Prop_VA_Media-Nightlife__Sun Jun 15 2025 18:46:16 GMT+0000 (Coordinated Unive,"-18,159",,Posted,6-15-25 1:50 PM,6-16-25 6:25 AM,6-16-25 6:25 AM,6-17-25 6:48 AM,,6-17-25 9:26 AM
PK202500016990,"3,98,977",26-08-2025,Package,Media - DICE,10252360,Reg_Prop_Media_1.6_Mon Jun 02 2025 03:53:59 GMT-0400 (Eastern Dayl,0,,Posted,6-15-25 1:49 PM,6-16-25 6:25 AM,6-16-25 6:25 AM,6-17-25 6:48 AM,,6-17-25 9:26 AM
PK202500016990,"3,98,980",26-08-2025,Package,Media - DICE,10252360,Reg_Prop_Media_1.6_Mon Jun 02 2025 03:53:59 GMT-0400 (Eastern Dayl,0,,Posted,6-15-25 1:50 PM,6-16-25 6:30 AM,6-16-25 6:30 AM,6-17-25 7:50 PM,,6-17-25 11:41 PM
PK202500017090,"3,98,981",01-07-2025,Package,Propane & Fuel Dealers,10252864,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Mon Jun 16 2025 06:01:42 GMT+0000 (Coordinated Unive,"24,831",,Posted,6-16-25 1:07 AM,6-16-25 6:31 AM,6-16-25 6:31 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017084,"3,98,982",01-08-2025,Package,Media - Film,,Reg_Prop_VA_Media-Nightlife__Sun Jun 15 2025 18:46:16 GMT+0000 (Coordinated Unive,"-18,159",,Posted,6-15-25 1:52 PM,6-16-25 6:31 AM,6-16-25 6:31 AM,6-17-25 7:50 PM,,6-17-25 11:41 PM
PK202500016990,"3,98,983",20-08-2025,Package,Media - DICE,10252360,Reg_Prop_Media_1.6_Mon Jun 02 2025 03:53:59 GMT-0400 (Eastern Dayl,-614,,Posted,6-15-25 1:50 PM,6-16-25 6:32 AM,6-16-25 6:32 AM,6-17-25 10:20 AM,,6-17-25 4:47 PM
PK202500017085,"3,98,986",11-08-2025,Package,Media - Film,,Reg_Prop_VA_Media-Nightlife__Sun Jun 15 2025 18:46:16 GMT+0000 (Coordinated Unive,"1,488",,Posted,6-15-25 1:53 PM,6-16-25 6:32 AM,6-16-25 6:32 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017084,"3,98,987",01-08-2025,Package,Media - Film,,Reg_Prop_VA_Media-Nightlife__Sun Jun 15 2025 18:46:16 GMT+0000 (Coordinated Unive,"18,159",,Posted,6-15-25 1:51 PM,6-16-25 6:32 AM,6-16-25 6:32 AM,6-17-25 10:20 AM,,6-17-25 4:47 PM
PK202500017086,"3,98,990",01-07-2025,Package,Media - Film,,Reg_Prop_NJ_Media-Shell_NB_CF_Sun Jun 15 2025 18:47:44 GMT+0000 (Coordinated Unive,"-2,25,183",,Posted,6-15-25 1:53 PM,6-16-25 6:32 AM,6-16-25 6:32 AM,6-17-25 6:48 AM,,6-17-25 9:26 AM
PK202500016990,"3,98,991",27-08-2025,Package,Media - DICE,10252360,Reg_Prop_Media_1.6_Mon Jun 02 2025 03:53:59 GMT-0400 (Eastern Dayl,0,,Posted,6-15-25 1:51 PM,6-16-25 6:32 AM,6-16-25 6:32 AM,6-18-25 7:05 AM,,6-18-25 12:49 PM
PK202500016990,"3,98,992",27-08-2025,Package,Media - DICE,10252360,Reg_Prop_Media_1.6_Mon Jun 02 2025 03:53:59 GMT-0400 (Eastern Dayl,0,,Posted,6-15-25 1:51 PM,6-16-25 6:32 AM,6-16-25 6:32 AM,6-18-25 1:38 AM,,6-18-25 10:31 AM
PK202600017090,"3,98,993",01-07-2026,Package,Propane & Fuel Dealers,10252865,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Mon Jun 16 2025 06:01:42 GMT+0000 (Coordinated Unive,"26,451",,Posted,6-16-25 1:10 AM,6-16-25 6:32 AM,6-16-25 6:32 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017085,"3,98,997",16-08-2025,Package,Media - Film,,Reg_Prop_VA_Media-Nightlife__Sun Jun 15 2025 18:46:16 GMT+0000 (Coordinated Unive,366,,Posted,6-15-25 1:54 PM,6-16-25 6:35 AM,6-16-25 6:35 AM,6-17-25 6:48 AM,,6-17-25 9:26 AM
PK202500017086,"3,99,000",01-07-2025,Package,Media - Film,,Reg_Prop_NJ_Media-Shell_NB_CF_Sun Jun 15 2025 18:47:44 GMT+0000 (Coordinated Unive,"2,25,183",,Posted,6-15-25 1:54 PM,6-16-25 6:35 AM,6-16-25 6:35 AM,6-17-25 10:20 AM,,6-17-25 4:47 PM
PK202500017086,"3,99,001",01-07-2025,Package,Media - Film,,Reg_Prop_NJ_Media-Shell_NB_CF_Sun Jun 15 2025 18:47:44 GMT+0000 (Coordinated Unive,"-2,25,183",,Posted,6-15-25 1:55 PM,6-16-25 6:35 AM,6-16-25 6:35 AM,6-17-25 7:50 PM,,6-17-25 11:41 PM
PK202500017085,"3,99,002",26-08-2025,Package,Media - Film,,Reg_Prop_VA_Media-Nightlife__Sun Jun 15 2025 18:46:16 GMT+0000 (Coordinated Unive,0,,Posted,6-15-25 1:55 PM,6-16-25 6:35 AM,6-16-25 6:35 AM,6-17-25 10:20 AM,,6-17-25 4:47 PM
PK202500017085,"3,99,003",26-08-2025,Package,Media - Film,,Reg_Prop_VA_Media-Nightlife__Sun Jun 15 2025 18:46:16 GMT+0000 (Coordinated Unive,0,,Posted,6-15-25 1:55 PM,6-16-25 6:35 AM,6-16-25 6:35 AM,6-17-25 7:50 PM,,6-17-25 11:41 PM
PK202500017087,"3,99,006",11-07-2025,Package,Media - Film,,Reg_Prop_NJ_Media-Shell_NB_CF_Sun Jun 15 2025 18:47:44 GMT+0000 (Coordinated Unive,"18,465",,Posted,6-15-25 1:56 PM,6-16-25 6:35 AM,6-16-25 6:35 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017085,"3,99,007",26-08-2025,Package,Media - Film,,Reg_Prop_VA_Media-Nightlife__Sun Jun 15 2025 18:46:16 GMT+0000 (Coordinated Unive,0,,Posted,6-15-25 1:56 PM,6-16-25 6:35 AM,6-16-25 6:35 AM,6-18-25 7:05 AM,,6-18-25 12:49 PM
PK202500017085,"3,99,008",20-08-2025,Package,Media - Film,,Reg_Prop_VA_Media-Nightlife__Sun Jun 15 2025 18:46:16 GMT+0000 (Coordinated Unive,0,,Posted,6-15-25 1:56 PM,6-16-25 6:35 AM,6-16-25 6:35 AM,6-18-25 1:38 AM,,6-18-25 10:31 AM
PK202500017085,"3,99,014",27-08-2025,Package,Media - Film,,Reg_Prop_VA_Media-Nightlife__Sun Jun 15 2025 18:46:16 GMT+0000 (Coordinated Unive,-810,,Posted,6-15-25 1:56 PM,6-16-25 6:40 AM,6-16-25 6:40 AM,6-18-25 4:49 PM,,6-18-25 9:11 PM
PK202500017091,"3,99,015",01-08-2025,Package,Pest Control,10252872,Reg_PestControl_FL_NB_CnclFlat_ReisOSE_1.46_Mon Jun 16 2025 06:12:13 GMT+0000 (Coordinated Unive,"39,083",,Posted,6-16-25 1:17 AM,6-16-25 6:40 AM,6-16-25 6:40 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017085,"3,99,017",27-08-2025,Package,Media - Film,,Reg_Prop_VA_Media-Nightlife__Sun Jun 15 2025 18:46:16 GMT+0000 (Coordinated Unive,810,,Posted,6-15-25 1:57 PM,6-16-25 6:40 AM,6-16-25 6:40 AM,6-18-25 10:22 PM,,6-19-25 12:32 AM
PK202500017087,"3,99,019",16-07-2025,Package,Media - Film,,Reg_Prop_NJ_Media-Shell_NB_CF_Sun Jun 15 2025 18:47:44 GMT+0000 (Coordinated Unive,295,,Posted,6-15-25 1:57 PM,6-16-25 6:40 AM,6-16-25 6:40 AM,6-17-25 6:48 AM,,6-17-25 9:26 AM
PK202500017087,"3,99,021",26-07-2025,Package,Media - Film,,Reg_Prop_NJ_Media-Shell_NB_CF_Sun Jun 15 2025 18:47:44 GMT+0000 (Coordinated Unive,0,,Posted,6-15-25 1:58 PM,6-16-25 6:40 AM,6-16-25 6:40 AM,6-17-25 10:20 AM,,6-17-25 4:47 PM
PK202500017087,"3,99,022",26-07-2025,Package,Media - Film,,Reg_Prop_NJ_Media-Shell_NB_CF_Sun Jun 15 2025 18:47:44 GMT+0000 (Coordinated Unive,0,,Posted,6-15-25 1:58 PM,6-16-25 6:40 AM,6-16-25 6:40 AM,6-17-25 7:50 PM,,6-17-25 11:41 PM
PK202500017087,"3,99,032",26-07-2025,Package,Media - Film,,Reg_Prop_NJ_Media-Shell_NB_CF_Sun Jun 15 2025 18:47:44 GMT+0000 (Coordinated Unive,0,,Posted,6-15-25 1:59 PM,6-16-25 6:46 AM,6-16-25 6:46 AM,6-18-25 7:05 AM,,6-18-25 12:49 PM
PK202500017087,"3,99,033",20-07-2025,Package,Media - Film,,Reg_Prop_NJ_Media-Shell_NB_CF_Sun Jun 15 2025 18:47:44 GMT+0000 (Coordinated Unive,-655,,Posted,6-15-25 1:59 PM,6-16-25 6:46 AM,6-16-25 6:46 AM,6-18-25 1:38 AM,,6-18-25 10:31 AM
PK202500017087,"3,99,034",27-07-2025,Package,Media - Film,,Reg_Prop_NJ_Media-Shell_NB_CF_Sun Jun 15 2025 18:47:44 GMT+0000 (Coordinated Unive,"-7,512",,Posted,6-15-25 2:00 PM,6-16-25 6:46 AM,6-16-25 6:46 AM,6-18-25 4:49 PM,,6-18-25 9:11 PM
PK202500017087,"3,99,045",27-07-2025,Package,Media - Film,,Reg_Prop_NJ_Media-Shell_NB_CF_Sun Jun 15 2025 18:47:44 GMT+0000 (Coordinated Unive,"7,512",,Posted,6-15-25 2:00 PM,6-16-25 6:50 AM,6-16-25 6:50 AM,6-18-25 10:22 PM,,6-19-25 12:32 AM
AU202500018287,"3,99,055",01-08-2025,Automobile,Petrosure - Crane and Rigging,,Ignore_UR_Petrosure_June_Reg,"1,608",,Posted,6-15-25 10:52 PM,6-16-25 6:55 AM,6-16-25 6:55 AM,6-17-25 6:40 AM,,6-17-25 8:29 AM
AU202500018288,"3,99,133",01-09-2025,Automobile,School Bus Contractors,,"ACC_TEST_SMOKETEST_IGNORE_,'$%&_UAT6_MAAUTO_Mon Jun 16 2025 05:45:29 GMT+0000 (Coordinated Unive","-2,167",,Posted,6-16-25 12:47 AM,6-16-25 7:25 AM,6-16-25 7:25 AM,6-17-25 6:40 AM,,6-17-25 8:29 AM
AU202500018289,"3,99,134",01-09-2025,Automobile,School Bus Contractors,,"ACC_TEST_SMOKETEST_IGNORE_,'$%&_UAT6_AUTO_Mon Jun 16 2025 05:42:25 GMT+0000 (Coordinated Unive","-9,957",,Posted,6-16-25 12:48 AM,6-16-25 7:25 AM,6-16-25 7:25 AM,6-17-25 6:40 AM,,6-17-25 8:29 AM
AU202500018290,"3,99,138",01-09-2025,Automobile,Scaffold Program,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Mon Jun 16 2025 07:09:32 GMT+0000 (Coordinated Unive,"7,128",,Posted,6-16-25 2:14 AM,6-16-25 7:30 AM,6-16-25 7:30 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
AU202500018288,"3,99,140",01-09-2025,Automobile,School Bus Contractors,,"ACC_TEST_SMOKETEST_IGNORE_,'$%&_UAT6_MAAUTO_Mon Jun 16 2025 05:45:29 GMT+0000 (Coordinated Unive","2,167",,Posted,6-16-25 12:48 AM,6-16-25 7:30 AM,6-16-25 7:30 AM,6-17-25 8:40 AM,,6-17-25 12:50 PM
AU202500018289,"3,99,141",01-09-2025,Automobile,School Bus Contractors,,"ACC_TEST_SMOKETEST_IGNORE_,'$%&_UAT6_AUTO_Mon Jun 16 2025 05:42:25 GMT+0000 (Coordinated Unive","9,957",,Posted,6-16-25 12:48 AM,6-16-25 7:30 AM,6-16-25 7:30 AM,6-17-25 8:40 AM,,6-17-25 12:50 PM
AU202500018291,"3,99,159",01-08-2025,Automobile,Portable Sanitation,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Mon Jun 16 2025 03:08:28 GMT-0400 (Eastern Dayl,"47,700",,Posted,6-16-25 2:16 AM,6-16-25 7:40 AM,6-16-25 7:40 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
AU202500018292,"3,99,163",01-06-2025,Automobile,Crane Program,,Reg_Auto_AZ_NB_Non-Prem-Bearing-End_1.13_Mon Jun 16 2025 07:11:53 GMT+0000 (Coordinated Unive,"1,728",,Posted,6-16-25 2:19 AM,6-16-25 7:40 AM,6-16-25 7:40 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
AU202500018293,"3,99,165",01-03-2025,Automobile,School Bus Contractors,,Reg_Auto_NJ_NB_CancelFlat_Rewrite_End1_End2__1.4_Mon Jun 16 2025 03:08:49 GMT-0400 (Eastern Dayl,"64,682",,Posted,6-16-25 2:19 AM,6-16-25 7:40 AM,6-16-25 7:40 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
AU202500018295,"3,99,174",29-09-2025,Automobile,Crane Program,,Reg_Auto_AZ_NB_Non-Prem-Bearing-End_1.13_Mon Jun 16 2025 07:11:53 GMT+0000 (Coordinated Unive,"1,882",,InProcess,6-16-25 2:23 AM,6-16-25 7:45 AM,6-16-25 7:45 AM,6-17-25 4:12 AM,6-17-25 4:31 AM,
AU202500018296,"3,99,175",01-08-2025,Automobile,School Bus Contractors,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Mon Jun 16 2025 07:16:57 GMT+0000 (Coordinated Unive,"39,158",,Posted,6-16-25 2:23 AM,6-16-25 7:45 AM,6-16-25 7:45 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
PK202500017092,"3,99,177",01-09-2025,Package,Portable Sanitation,10252928,Reg_Multistate_CPP_GL_IM_Crime_Prop_IM_NB_1.1_Mon Jun 16 2025 07:20:09 GMT+0000 (Coordinated Unive,"63,176",,Posted,6-16-25 2:24 AM,6-16-25 7:45 AM,6-16-25 7:45 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017093,"3,99,187",01-09-2025,Package,Portable Sanitation,10252930,DCOD_NB_FormOrder_Mon Jun 16 2025 07:23:52 GMT+0000 (Coordinated Unive,"63,176",,Posted,6-16-25 2:28 AM,6-16-25 7:50 AM,6-16-25 7:50 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
AU202500018297,"3,99,188",01-03-2025,Automobile,Petrosure - Manufacturers,,Reg_Auto_OK_NB_Prem-Bearing-End_1.17Mon Jun 16 2025 07:25:31 GMT+0000 (Coordinated Unive,"1,369",,Posted,6-16-25 2:29 AM,6-16-25 7:50 AM,6-16-25 7:50 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
AU202500018298,"3,99,192",01-08-2025,Automobile,Portable Sanitation,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Mon Jun 16 2025 03:24:23 GMT-0400 (Eastern Dayl,"38,650",,Posted,6-16-25 2:31 AM,6-16-25 7:50 AM,6-16-25 7:50 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
AU202500018299,"3,99,201",01-04-2025,Automobile,Petrosure - Manufacturers,,Reg_Auto_OK_NB_Prem-Bearing-End_1.17Mon Jun 16 2025 07:25:31 GMT+0000 (Coordinated Unive,"20,638",,Posted,6-16-25 2:32 AM,6-16-25 7:55 AM,6-16-25 7:55 AM,6-17-25 4:12 AM,,6-17-25 6:36 AM
PK202500017094,"3,99,202",01-09-2025,Package,Franchise Equipment Dealer,10252936,Reg_Multistate_CPP_GL_Crime_Prop_NJ_1.3_Mon Jun 16 2025 07:30:06 GMT+0000 (Coordinated Unive,"10,739",,Posted,6-16-25 2:34 AM,6-16-25 7:55 AM,6-16-25 7:55 AM,6-17-25 5:09 AM,,6-17-25 6:36 AM
PK202500017090,"3,99,205",16-07-2025,Package,Propane & Fuel Dealers,10252864,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Mon Jun 16 2025 06:01:42 GMT+0000 (Coordinated Unive,112,,Posted,6-16-25 1:08 AM,6-16-25 7:55 AM,6-16-25 7:55 AM,6-17-25 6:48 AM,,6-17-25 9:26 AM
PK202500017090,"3,99,206",16-07-2025,Package,Propane & Fuel Dealers,10252864,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Mon Jun 16 2025 06:01:42 GMT+0000 (Coordinated Unive,112,,Posted,6-16-25 1:08 AM,6-16-25 7:55 AM,6-16-25 7:55 AM,6-17-25 10:20 AM,,6-17-25 4:47 PM
PK202500017090,"3,99,211",16-07-2025,Package,Propane & Fuel Dealers,10252864,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Mon Jun 16 2025 06:01:42 GMT+0000 (Coordinated Unive,112,,Posted,6-16-25 1:11 AM,6-16-25 7:55 AM,6-16-25 7:55 AM,6-18-25 1:38 AM,,6-18-25 10:31 AM
PK202500017090,"3,99,212",12-07-2025,Package,Propane & Fuel Dealers,10252864,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Mon Jun 16 2025 06:01:42 GMT+0000 (Coordinated Unive,0,,Posted,6-16-25 1:11 AM,6-16-25 7:55 AM,6-16-25 7:55 AM,6-17-25 7:50 PM,,6-17-25 11:41 PM
AU202500018300,"3,99,213",01-06-2025,Automobile,Petrosure - Testing Contractors,,Reg_Auto_LA_NB_Prem-Bearing-End_1.19_Mon Jun 16 2025 07:32:18 GMT+0000 (Coordinated Unive,"1,94,244",,Posted,6-16-25 2:36 AM,6-16-25 8:05 AM,6-16-25 8:05 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
AU202500018301,"3,99,214",01-05-2025,Automobile,Parking Facilities,,Reg_Auto_IL_NB_CnclFlat_Reissue_CnclPro_Reinstate__$END_OOSE_Cancel_FA_1.18_Mon Jun 16 2025 03:30:58 GMT-0400 (Eastern Dayl,"68,714",,Posted,6-16-25 2:37 AM,6-16-25 8:05 AM,6-16-25 8:05 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
AU202500018302,"3,99,216",01-06-2025,Automobile,Petrosure - Water Well Drilling Contractors,,Reg_Auto_TX_NB_$End_OOSE_CnclPro_1.20_Mon Jun 16 2025 03:34:02 GMT-0400 (Eastern Dayl,"45,425",,Posted,6-16-25 2:38 AM,6-16-25 8:05 AM,6-16-25 8:05 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
AU202500018303,"3,99,218",01-08-2025,Automobile,School Bus Contractors,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Mon Jun 16 2025 07:36:20 GMT+0000 (Coordinated Unive,"10,510",,Posted,6-16-25 2:41 AM,6-16-25 8:05 AM,6-16-25 8:05 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
AU202500018304,"3,99,222",01-01-2025,Automobile,Media - Rental House,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Mon Jun 16 2025 07:42:23 GMT+0000 (Coordinated Unive,"12,904",,Posted,6-16-25 2:45 AM,6-16-25 8:05 AM,6-16-25 8:05 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
AU202500018305,"3,99,230",01-07-2025,Automobile,Franchise Equipment Dealer,,Reg_Auto_NY_NB_END_1.38_Mon Jun 16 2025 07:44:28 GMT+0000 (Coordinated Unive,337,,Posted,6-16-25 2:47 AM,6-16-25 8:10 AM,6-16-25 8:10 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
AU202500018306,"3,99,232",01-05-2025,Automobile,Crane Program,,Reg_Auto_CA_NB_Cancel - Prorata_Reinstate_1.1_Mon Jun 16 2025 03:43:10 GMT-0400 (Eastern Dayl,786,,Posted,6-16-25 2:48 AM,6-16-25 8:10 AM,6-16-25 8:10 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
AU202500018307,"3,99,233",01-07-2025,Automobile,School Bus Contractors,,Reg_Auto_MO_NB_CnclFlat_Reissue_1.35_Mon Jun 16 2025 03:43:54 GMT-0400 (Eastern Dayl,"2,261",,Posted,6-16-25 2:48 AM,6-16-25 8:10 AM,6-16-25 8:10 AM,6-17-25 3:08 AM,,6-17-25 10:11 AM
AU202500018308,"3,99,235",31-07-2025,Automobile,Franchise Equipment Dealer,,Reg_Auto_NY_NB_END_1.38_Mon Jun 16 2025 07:44:28 GMT+0000 (Coordinated Unive,"1,269",,Posted,6-16-25 2:50 AM,6-16-25 8:10 AM,6-16-25 8:10 AM,6-17-25 4:12 AM,,6-17-25 6:36 AM
PK202500017096,"3,99,238",16-10-2025,Package,School Bus Contractors,10252940,Reg_Multistate_CPP_Auto_GL_IM_AAIS_1.4_Mon Jun 16 2025 07:33:46 GMT+0000 (Coordinated Unive,"90,03,87,258",,InProcess,6-16-25 2:53 AM,6-16-25 8:10 AM,6-16-25 8:10 AM,6-17-25 5:09 AM,6-17-25 5:51 AM,
AU202500018309,"3,99,245",01-08-2025,Automobile,School Bus Contractors,,Reg_Auto_MO_NB_CnclFlat_Reissue_1.35_Mon Jun 16 2025 03:43:54 GMT-0400 (Eastern Dayl,"27,695",,Posted,6-16-25 2:54 AM,6-16-25 8:15 AM,6-16-25 8:15 AM,6-17-25 4:12 AM,,6-17-25 6:36 AM
PK202500017091,"3,99,251",01-08-2025,Package,Pest Control,10252872,Reg_PestControl_FL_NB_CnclFlat_ReisOSE_1.46_Mon Jun 16 2025 06:12:13 GMT+0000 (Coordinated Unive,"-39,083",,Posted,6-16-25 1:18 AM,6-16-25 8:15 AM,6-16-25 8:15 AM,6-17-25 6:48 AM,,6-17-25 9:26 AM
